city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Linxia Chengguanzhen,35.6000,103.2167,China,CN,Gansu,minor,274466,274466
Dongta,38.0937,106.3321,China,CN,Ningxia,minor,261677,261677
Jinshi,29.6334,111.8746,China,CN,Hunan,minor,251064,251064
Beichengqu,40.4348,113.1565,China,CN,Inner Mongolia,minor,245608,245608
Zhangping,25.2938,117.4148,China,CN,Fujian,minor,242000,242000
Wuyishan,27.7562,118.0267,China,CN,Fujian,minor,238000,238000
Jiayuguan,39.8112,98.2862,China,CN,Gansu,minor,231853,231853
Hunchun,42.8679,130.3585,China,CN,Jilin,minor,225454,225454
Ji’an Shi,41.1231,126.1815,China,CN,Jilin,minor,222938,222938
Golmud,36.4028,94.9042,China,CN,Qinghai,minor,215214,215214
Dongning,44.0608,131.1187,China,CN,Heilongjiang,minor,210000,210000
Donghua,35.2175,106.6545,China,CN,Gansu,minor,189333,189333
Luzhang,25.8519,98.8562,China,CN,Yunnan,minor,184835,184835
