,number of cases,City,location_ENG,Population at Year-end (10000 persons),Natural growth rate (‰),"Number of employees at the end of the year (10,000 Yuan)",Average annual salary per urban employee ( Yuan),Population density (person / square kilometer),Per Capita GDP(yuan),Secondary industry as percentage to GDP,Service Sector as Percentage to GRP,Number of theaters,Collections of public libraries (100 people),province
74,2,商洛市,"('Shangluo', 'Shaanxi')",454.5168086,4.184637799999999,58.900052452,56342.90622680001,319.01286949999997,50732.37866,52.728088,36.21205725,20.2397,37.3607665,Shaanxi
75,2,威海市,"('Weihai', 'Shandong')",255.71,-0.06600000000000003,56.29626,57822.196,439.665,114754.2,46.3675,46.25,15.0,127.15,Shandong
76,2,孝感市,"('Xiaogan', 'Hubei')",504.34456819753086,7.59010098765432,81.46560077925928,48614.804809111105,527.7801062962963,53704.169737654316,48.40193327160493,38.647861203703705,29.180456790123458,53.21745154320987,Hubei
77,2,定西市,"('Dingxi', 'Gansu')",281.486962962963,6.3757222222222225,30.25386098765433,58124.722981481485,154.5279822530864,32350.560967592595,36.49752314814815,48.762540509259274,10.57638888888889,32.035821759259264,Gansu
78,2,宜春市,"('Yichun', 'Jiangxi')",600.318,11.776000000000002,45.0597,50136.96400000001,319.42,32172.25,48.94,36.7775,40.0,27.25,Jiangxi
79,2,常德市,"('Changde', 'Hunan')",607.976,2.13,42.18300000000001,54509.66799999999,321.9600000000001,50272.8,43.44,44.115,29.0,25.405,Hunan
80,2,廊坊市,"('Langfang', 'Hebei')",770.2507800000001,7.847239999999999,61.17208680000001,58669.691119999996,581.2679499999999,43663.6621,46.168425,42.260425000000005,13.38,26.72695,Hebei
81,2,惠州市,"('Huizhou', 'Guangdong')",363.914,11.0,94.73727999999998,65094.162000000004,310.91,73423.2,54.515,40.7725,5.0,44.42,Guangdong
82,2,抚州市,"('Fuzhou', 'Jiangxi')",418.156,13.336000000000002,36.67338,54440.448,219.83,29584.75,47.765,36.25750000000001,24.0,33.510000000000005,Jiangxi
83,2,抚顺市,"('Fushun', 'Liaoning')",213.632,-3.642,25.68336,53730.45400000001,192.235,51681.2,52.09,41.075,9.0,49.01000000000001,Liaoning
